AssociatedGene	SubmitTotalPublication	MetaAnalysisPublication
    G6PD  	51	1
    TNF  	41	0
    FCGR2A  	27	1
    HBB  	26	1
    IL10  	21	1
    IL4  	20	1
    DARC  	19	0
    TLR4  	19	1
    HLA-DRB1  	15	0
    CR1  	15	1
    CD36  	14	0
    HBA1  	14	0
    ABO  	14	1
    TLR2  	13	0
    HLA-B  	13	1
    LTA  	13	0
    TLR9  	13	0
    IFNG  	12	0
    HP  	12	1
    HLA-A  	12	1
    NOS2  	10	0
    IL12B  	10	0
    IL13  	9	0
    HLA-DQB1  	9	0
    MBL2  	8	0
    CYP2B6  	8	0
    NOS2A  	8	0
    IL1B  	8	0
    HMOX1  	7	0
    ICAM1  	7	0
    IL6  	7	1
    CYP2C8  	7	0
    CYP2C19  	6	0
    TIRAP  	5	0
    KIR2DL1  	5	0
    KIR2DL3  	5	0
    KIR3DL1  	5	0
    IL1A  	5	0
    TLR1  	5	0
    CD40LG  	5	0
    FCGR3B  	5	0
    CYP3A5  	5	0
    TGFB1  	5	1
    IRF1  	5	0
    ADCY9  	5	0
    PECAM1  	5	0
    PROCR  	4	0
    IL4R  	4	0
    IL8  	4	0
    CRP  	4	0
    KIR3DS1  	4	0
    NCR3  	4	0
    KIR2DL2  	4	0
    CYP3A4  	4	0
    KIR2DS1  	4	0
    KIR2DS4  	4	0
    ABCB1  	4	0
    GNAS  	3	1
    IFNAR1  	3	0
    IFNGR1  	3	0
    CYP2A6  	3	0
    KIR2DS5  	3	0
    KIR2DL5A  	3	0
    IL12A  	3	0
    KIR2DP1  	3	0
    FOXO3  	3	0
    RTN3  	3	0
    NOS1  	3	0
    TRB@  	3	0
    GSTP1  	3	0
    KIR2DS3  	3	0
    HLA-C  	3	0
    MIF  	3	0
    UGT1A9  	3	0
    VDR  	3	0
    ADA  	3	0
    KIR2DS2  	3	0
    CYP2D6  	2	0
    IL1RN  	2	0
    FCGR2B  	2	0
    GYPB  	2	0
    HLA-DRB5  	2	0
    UGT2B7  	2	0
    HS3ST3B1  	2	0
    IL10RA  	2	0
    IL10RB  	2	0
    IFNA1  	2	0
    KIR3DL2  	2	0
    NAT2  	2	0
    ADRB2  	2	0
    SLC4A1  	2	0
    HBE1  	2	0
    HLA-DQA1  	2	0
    IL17RE  	2	0
    ACE  	2	1
    FCGR3A  	2	0
    RAD50  	2	0
    TLR6  	2	0
    APOE  	2	0
    FCN2  	2	0
    IL3  	2	0
    HS3ST3A1  	2	0
    GYPA  	2	0
    HBA2  	2	0
    KIR3DL3  	2	0
    RNASE3  	2	0
    IL12RB1  	2	0
    IL18  	2	0
    LTB  	2	0
    IL17RC  	2	0
    NOS3  	2	0
    ATP2B4  	2	0
    HLA-G  	2	0
    CHIT1  	2	0
    CCR5  	2	0
    CYP2C9  	2	0
    TPI1  	2	0
    KIR2DL5B  	2	0
    KIR2DL4  	2	0
    PROC  	1	0
    SMN1  	1	0
    SP4  	1	0
    TNFAIP1  	1	0
    HAVCR2  	1	0
    CD40  	1	0
    IL17RD  	1	0
    OR4N3P  	1	0
    IL22  	1	0
    TAS2R16  	1	0
    CXCL10  	1	0
    KCNG1  	1	0
    IL12RB2  	1	0
    CDH13  	1	0
    MASP2  	1	0
    EMR1  	1	0
    FCER1A  	1	0
    HAVCR1  	1	0
    HFE  	1	0
    HLA-DRB3  	1	0
    IGH@  	1	0
    CECR1  	1	0
    TREM1  	1	0
    LUC7L  	1	0
    PRNP  	1	0
    CCL5  	1	0
    LST1  	1	0
    GTF3C4  	1	0
    IL5  	1	0
    CYP1A1  	1	0
    SH2B3  	1	0
    NUPL2  	1	0
    TMPRSS6  	1	0
    CHST13  	1	0
    ABCA1  	1	0
    FLT1  	1	0
    WSB1  	1	0
    SLC40A1  	1	0
    HBG1  	1	0
    IFNA2  	1	0
    IFNA8  	1	0
    IFNB1  	1	0
    SELE  	1	0
    NCF1  	1	0
    CYTB  	1	0
    STAT6  	1	0
    DDR1  	1	0
    PNPLA3  	1	0
    KRT122P  	1	0
    DERL3  	1	0
    TNFRSF8  	1	0
    MICB  	1	0
    MMP3  	1	0
    CHST11  	1	0
    FOXP3  	1	0
    PKLR  	1	0
    PLAGL1  	1	0
    CHST12  	1	0
    PSMB9  	1	0
    CTNND2  	1	0
    LOC284889  	1	0
    GRID2  	1	0
    F5  	1	0
    FBN2  	1	0
    IL17RA  	1	0
    HLA-DPB1  	1	0
    FAS  	1	0
    IL2  	1	0
    RNASE2  	1	0
    IGHG3  	1	0
    KLHL2  	1	0
    CASP12  	1	0
    Cdh5  	1	0
    MAP3K8  	1	0
    AIF1  	1	0
    CCL3L1  	1	0
    NFKBIB  	1	0
    BAT2  	1	0
    COIL  	1	0
    TNFRSF18  	1	0
    TIMD4  	1	0
    APOBEC3B  	1	0
    GBP7  	1	0
    LCT  	1	0
    MTHFR  	1	0
    RELA  	1	0
    SLC22A4  	1	0
    TGFB2  	1	0
    TP53  	1	0
    TNFSF13B  	1	0
    CFTR  	1	0
    CYP1B1  	1	0
    ATN1  	1	0
    TREML1  	1	0
    OR14K1  	1	0
    GCLC  	1	0
    GLI2  	1	0
    AKR1A1  	1	1
    FST  	1	0
    CISH  	1	0
    CCR2  	1	0
    SP110  	1	0
    IGKC  	1	0
    IL1R1  	1	0
    PTPN22  	1	0
    GSTM1  	1	0
    GSTT1  	1	0
    HIST1H1E  	1	0
    IL17A  	1	0
    INSRR  	1	0
    ATP6V1G2  	1	0
