AssociatedGene	SubmitTotalPublication	MetaAnalysisPublication
    TNF  	26	0
    G6PD  	23	0
    FCGR2A  	20	0
    IL4  	14	0
    HBB  	14	1
    CD36  	11	0
    IL10  	11	0
    ABO  	11	1
    TLR4  	11	0
    LTA  	10	0
    TLR9  	10	0
    CR1  	9	1
    HLA-DRB1  	9	0
    TLR2  	9	0
    HBA1  	8	0
    IL12B  	7	0
    IL13  	7	0
    IL1B  	6	0
    HLA-B  	6	0
    NOS2  	5	0
    HLA-A  	5	0
    HMOX1  	5	0
    MBL2  	5	0
    TIRAP  	5	0
    ICAM1  	4	0
    HP  	4	1
    CRP  	4	0
    CYP2C8  	4	0
    PROCR  	4	0
    IFNG  	4	0
    PECAM1  	4	0
    MIF  	3	0
    ADCY9  	3	0
    GSTP1  	3	0
    IRF1  	3	0
    TLR1  	3	0
    HLA-DQB1  	3	0
    KIR2DS1  	3	0
    NOS2A  	3	0
    KIR3DL1  	3	0
    NCR3  	3	0
    KIR2DL1  	3	0
    KIR2DL3  	3	0
    IL1A  	3	0
    KIR2DP1  	2	0
    RTN3  	2	0
    FOXO3  	2	0
    KIR2DS5  	2	0
    KIR2DL5A  	2	0
    KIR3DL3  	2	0
    KIR3DS1  	2	0
    IL3  	2	0
    IL18  	2	0
    KIR2DL2  	2	0
    IL17RC  	2	0
    KIR2DS4  	2	0
    GNAS  	2	0
    HLA-G  	2	0
    IFNAR1  	2	0
    IL6  	2	0
    KIR2DL4  	2	0
    KIR2DL5B  	2	0
    FCGR3B  	2	0
    HLA-DQA1  	2	0
    IL17RE  	2	0
    FCGR3A  	2	0
    CD40LG  	2	0
    KIR2DS3  	2	0
    KIR3DL2  	2	0
    IL4R  	2	0
    HLA-C  	2	0
    IFNA1  	2	0
    GYPB  	2	0
    KIR2DS2  	2	0
    IL1RN  	2	0
    HS3ST3B1  	2	0
    UGT1A9  	1	0
    ACE2  	1	0
    NCF1C  	1	0
    IL10RA  	1	0
    IL10RB  	1	0
    IL17F  	1	0
    DHFR  	1	0
    HLA-DRB5  	1	0
    IFNA17  	1	0
    ADRB2  	1	0
    GSR  	1	0
    KIR3DP1  	1	0
    SLC4A1  	1	0
    SOD2  	1	0
    SPTB  	1	0
    TGFB1  	1	0
    DARC  	1	0
    GSTM1  	1	0
    GSTT1  	1	0
    HIST1H1E  	1	0
    HBE1  	1	0
    AKR1A1  	1	1
    ACE  	1	0
    C6  	1	0
    TRIM5  	1	0
    IL1R1  	1	0
    IL8  	1	0
    IL17A  	1	0
    NCF1B  	1	0
    TRB@  	1	0
    RAD50  	1	0
    CYP1B1  	1	0
    GCLC  	1	0
    TREML1  	1	0
    OR14K1  	1	0
    APOE  	1	0
    GBP7  	1	0
    LCT  	1	0
    TGFB2  	1	0
    PROC  	1	0
    TNFAIP1  	1	0
    HAVCR2  	1	0
    IL22  	1	0
    IL17RD  	1	0
    CDH13  	1	0
    MASP2  	1	0
    EMR1  	1	0
    HAVCR1  	1	0
    OR4N3P  	1	0
    CXCL10  	1	0
    KCNG1  	1	0
    LTB  	1	0
    NOS3  	1	0
    ATP2B4  	1	0
    TREM1  	1	0
    CYP1A1  	1	0
    CYP2B6  	1	0
    TMPRSS6  	1	0
    CHST13  	1	0
    ABCA1  	1	0
    IFNA8  	1	0
    IFNB1  	1	0
    IFNGR1  	1	0
    IL5  	1	0
    FAS  	1	0
    CHST11  	1	0
    FOXP3  	1	0
    CHST12  	1	0
    CTNND2  	1	0
    CYP2A6  	1	0
    IL17RA  	1	0
    LOC284889  	1	0
    GYPA  	1	0
    HLA-DPB1  	1	0
    RNASE3  	1	0
    SELE  	1	0
    NCF1  	1	0
    STAT6  	1	0
    DERL3  	1	0
    TNFRSF8  	1	0
    HS3ST3A1  	1	0
    TNFRSF18  	1	0
    TIMD4  	1	0
    APOBEC3B  	1	0
    KLHL2  	1	0
    CASP12  	1	0
    FCN2  	1	0
    CCL3L1  	1	0
    IL12A  	1	0
