AssociatedGene	SubmitTotalPublication	MetaAnalysisPublication
DARC  	10	0
    TNF  	4	0
    IL6  	3	0
    G6PD  	3	0
    HLA-DQB1  	2	0
    HLA-DRB1  	2	0
    IFNG  	2	0
    IL10  	2	0
    VDR  	2	0
    IL12B  	2	0
    IL12RB1  	1	0
    IL13  	1	0
    ITGA2  	1	0
    ITGB3  	1	0
    KIR2DL1  	1	0
    KIR2DS1  	1	0
    KIR3DL1  	1	0
    P2RX7  	1	0
    DDX39B  	1	0
    TRIM5  	1	0
    CD40  	1	0
    CD40LG  	1	0
    IL12A  	1	0
    TNFRSF1A  	1	0
    IFNGR1  	1	0
    IL1B  	1	0
    IL2  	1	0
    IL4  	1	0
    IL4R  	1	0
    IL8  	1	0
    FYB  	1	0
    HMOX1  	1	0
    SP110  	1	0
    PTPN22  	1	0
    GNAS  	1	0
    ABO  	1	0
    GSTP1  	1	0
    HBA1  	1	0
    TNFSF13B  	1	0
