 Associated Gene	 Total Publication	Meta-analysis Publication
    CR1 	4	0
    TNF 	4	0
    FCGR2A 	3	0
    NOS2 	3	0
    NOS2A 	2	0
    IL1B 	2	0
    IL12B 	2	0
    HMOX1 	2	0
    FCGR3B 	2	0
    IL4 	2	0
    TLR2 	2	0
    CD36 	2	0
    TLR4 	1	0
    IL10 	1	0
    IL12A 	1	0
    TNFAIP1 	1	0
    HAVCR2 	1	0
    TIMD4 	1	0
    IL17RA 	1	0
    HAVCR1 	1	0
    GYPA 	1	0
    GYPB 	1	0
    HBA1 	1	0
    HBB 	1	0
    HBE1 	1	0
    HLA-B 	1	0
    HLA-C 	1	0
    HLA-DRB1 	1	0
    HLA-DRB5 	1	0
    OR14K1 	1	0
    IFNA1 	1	0
    IFNAR1 	1	0
    IFNB1 	1	0
    IFNG 	1	0
    IFNGR1 	1	0
    ACE 	1	0
    PROCR 	1	0
    IL17F 	1	0
    IL13 	1	0
    IL17A 	1	0
    CXCL10 	1	0
    KIR2DL3 	1	0
    OR4N3P 	1	0
    IL1R1 	1	0
    IL1RN 	1	0
    FCGR3A 	1	0
    NOS3 	1	0
    PECAM1 	1	0
    TLR9 	1	0
    ACE2 	1	0
    RNASE3 	1	0
    TGFB2 	1	0
