rsid	gene 	nsnp	chr	minimum_p	conditional_p	subtype_p	phenotype	pmid
rs334	HbS (in HBB)	40	11	HET: 8.59E-13 		Hyperlactemia: 1.81e-09 	Hyperlactemia	29381699
rs9296359	TREML4	1	6	HET: 1.21E-07 	HET: 4.42e-07 	Severe malaria anemia: 3.29e-07 	Severe malaria anemia	29381699
rs149085856	Intergenic (LINC00670)	1	17	ADD: 2.15E-07 	ADD: 1.06e-06 	Hyperlactemia: 2.81e-07 	Hyperlactemia	29381699
rs113449872	Intergenic	20	5	HET: 2.17E-07 	HET: 2.93e-07 	Severe malaria anemia: 2.92e-05 	Severe malaria anemia	29381699
rs11335470	LINC00944	3	12	HET: 2.52E-07 	HET: 1.86e-06 	Hyperlactemia: 9.04e-05 	Hyperlactemia	29381699
rs73832816	C4orf17	1	4	REC: 3.75E-07 	REC: 9.48e-07 	Cerebral malaria: 1.02e-06 	Cerebral malaria	29381699
rs17624383	Intergenic_	3	7	ADD: 5.62E-07 	ADD: 3.28e-06 	Respiratory detress: 4.61e-07 	Respiratory detress	29381699
rs2967790	KLHyperlactemia3, MYOT_	13	5	ADD: 5.85E-07 	ADD: 2.46e-06 	Hyperlactemia: 8.65e-06 	Hyperlactemia	29381699
rs144312179	FAM155A	6	13	ADD: 6.24E-07 	ADD: 2.92e-06	Hyperlactemia: 1.35e-06 	Hyperlactemia	29381699
rs114169033	AF146191.4_004 (lincRNA)	3	4	ADD: 6.67E-07 	ADD: 1.30e-06 	Respiratory detress: 5.62e-07 	Respiratory detress	29381699
rs6682413	IL23R, IL12RB2	7	1	REC: 7.98E-07 	REC: 1.03e-06 	Severe malaria anemia: 1.23e-04 	Severe malaria anemia	29381699
rs73505850	CSMD1	5	8	ADD: 7.98E-07 	ADD: 1.42e-06 	Severe malaria anemia: 1.20e-05 	Severe malaria anemia	29381699
rs8109875	ZNF536	1	19	REC: 8.69E-07 	REC: 3.57e-06 	Severe malaria anemia: 2.80e-05 	Severe malaria anemia	29381699
rs1878468	AC108142.1 (antisense)	1	4	HET: 8.98E-07 	HET: 1.19e-06 	Hyperlactemia: 8.10e-07 	Hyperlactemia	29381699
rs3133394	Intergenic	4	11	ADD: 9.41E-07 	ADD: 1.08e-06 	Cerebral malaria: 9.49e-06 	Cerebral malaria	29381699
