DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE_TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED_GENES	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P_VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
07/09/2016	26416757	Band G	30/09/2015	Nature	www.ncbi.nlm.nih.gov/pubmed/26416757	A novel locus of resistance to severe malaria in a region of ancient balancing selection.	Severe malaria	5,130 African ancestry cases, 5,291 African ancestry controls	5,535 African ancestry cases, 9,948 African ancestry controls	4q31.21	4	143781321	FREM3, GYPA, GYPE, GYPB	LOC100419356 - LOC105377458	100419356	105377458		19236	36473	rs186873296-?	rs186873296	0	186873296	intron_variant	1	NR	4,00E-11	10.397940008672037	(East African)			Illumina [~ 38000000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST003145	Genome-wide genotyping array
07/09/2016	26416757	Band G	30/09/2015	Nature	www.ncbi.nlm.nih.gov/pubmed/26416757	A novel locus of resistance to severe malaria in a region of ancient balancing selection.	Severe malaria	5,130 African ancestry cases, 5,291 African ancestry controls	5,535 African ancestry cases, 9,948 African ancestry controls	4q31.21	4	142617358	INPP4B	INPP4B, LOC101927613			8821, 101927613			rs77389579-?	rs77389579	0	77389579	intron_variant	0	NR	6,00E-06	5.221848749616356	(East African)			Illumina [~ 38000000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST003145	Genome-wide genotyping array
07/09/2016	26416757	Band G	30/09/2015	Nature	www.ncbi.nlm.nih.gov/pubmed/26416757	A novel locus of resistance to severe malaria in a region of ancient balancing selection.	Severe malaria	5,130 African ancestry cases, 5,291 African ancestry controls	5,535 African ancestry cases, 9,948 African ancestry controls	4q31.21	4	143781321	FREM3, GYPE, GYPA, GYPB	LOC100419356 - LOC105377458	100419356	105377458		19236	36473	rs186873296-?	rs186873296	0	186873296	intron_variant	1	NR	1,00E-10	10.0		1.49	[1.32-1.67]	Illumina [~ 38000000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST003145	Genome-wide genotyping array
04/11/2012	22895189	Timmann C	15/08/2012	Nature	www.ncbi.nlm.nih.gov/pubmed/22895189	Genome-wide association study indicates two novel resistance loci for severe malaria.	Malaria	1,325 African ancestry, 828 African ancestry controls	2,229 African ancestry cases, 3,526 African ancestry controls	1q32.1	1	203684896	ATP2B4	ATP2B4			493			rs10900585-T	rs10900585	0	10900585	intron_variant	0	0.62	2,00E-10	9.698970004336019		1.64	[NR]	Affymetrix [4205739] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST001637	Genome-wide genotyping array
04/11/2012	22895189	Timmann C	15/08/2012	Nature	www.ncbi.nlm.nih.gov/pubmed/22895189	Genome-wide association study indicates two novel resistance loci for severe malaria.	Malaria	1,325 African ancestry, 828 African ancestry controls	2,229 African ancestry cases, 3,526 African ancestry controls	9q34.2	9	133257522	ABO	ABO			28			rs8176719-G	rs8176719	0	8176719	frameshift_variant	0	0.37	4,00E-21	20.397940008672037		1.48	[NR]	Affymetrix [4205739] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST001637	Genome-wide genotyping array
04/11/2012	22895189	Timmann C	15/08/2012	Nature	www.ncbi.nlm.nih.gov/pubmed/22895189	Genome-wide association study indicates two novel resistance loci for severe malaria.	Malaria	1,325 African ancestry, 828 African ancestry controls	2,229 African ancestry cases, 3,526 African ancestry controls	11p15.4	11	5496926	HBB	OR51B5			282763			rs372091-C	rs372091	0	372091	intron_variant	0	0.972	6,00E-14	13.221848749616356		2.17	[NR]	Affymetrix [4205739] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST001637	Genome-wide genotyping array
04/11/2012	22895189	Timmann C	15/08/2012	Nature	www.ncbi.nlm.nih.gov/pubmed/22895189	Genome-wide association study indicates two novel resistance loci for severe malaria.	Malaria	1,325 African ancestry, 828 African ancestry controls	2,229 African ancestry cases, 3,526 African ancestry controls	16q22.2	16	71619734	MARVELD3	LOC105371334			105371334			rs2334880-C	rs2334880	0	2334880	downstream_gene_variant	0	0.45	2,00E-06	5.698970004336019		1.19	[NR]	Affymetrix [4205739] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST001637	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	12q24.32	12	126753075	LINC00944	LINC00944			387895			rs11335470-?	rs11335470	0	11335470	intron_variant	0	NR	3,00E-07	6.522878745280337	(Heterozygous)	2.4813895	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	5p12	5	43909241	Intergenic	NNT - RNU6-381P	23530	106480576		203675	157383	rs113449872-?	rs113449872	0	113449872	intergenic_variant	1	NR	2,00E-07	6.698970004336019	(Heterozygous)	2.8248587	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
12/03/2018	29381699	Ravenhall M	30/01/2018	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29381699	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	Severe malaria	449 Tanzanian ancestry cases, 465 Tanzanian ancestry controls	NA	4q35.2	4	189796550	AF146191.4-004	LOC105377616 - LOC105377619	105377616	105377619		73393	14174	rs114169033-?	rs114169033	0	114169033	intron_variant	1	NR	7,00E-07	6.154901959985743	(Additive)	3.326	[NR]	Illumina [15200000] (imputed)	N	malaria	http://www.ebi.ac.uk/efo/EFO_0001068	GCST005356	Genome-wide genotyping array
