SNP	Gene	Location	Min. P	Model	Case MAFs	Control MAFs	Trios MAFs	Kenya MAFs	Nigeria MAFs	Global MAFs	Disease
rs334	HBB	11:5248232	2.61x10-13 *	Heterozygous	0.020	0.080	0.026	0.101	0.139	0.027	HL
rs149914432	FREM3	4:144666678	1.73x10-2		0.032	0.058	0.024	0.015	0.005	0.002	SMA
rs186790584	FREM3	4:144680140	1.74x10-2		0.031	0.054	0.024	0.005	0.005	0.001	SMA
rs186873296	FREM3	4:144702474	2.28x10-2		0.030	0.053	0.024	0.005	0.005	0.001	SMA
rs4266246	USP38	4:143971242	"2.21x10-4;"	Additive	0.316	0.229	0.285	0.258	0.204	0.438	SMA
rs28459062	USP38	4:144039139	4.66x10-2	Recessive	0.150	0.184	0.126	0.207	0.213	0.092	SMA
Deletion	GYPE, B, A	4:144801719-145041744	3.01x10-1	Additive	0.001	0.000	0.004	-	-	-	SMA
rs1264362	HLA	6:30776590	1.90x10-3	Additive	0.200	0.246	-	0.131	0.032	0.153	SMA
rs2523589	HLA	6:31327334	9.33x10-5	Dominant	0.394	0.483	-	0.288	0.301	0.356	SMA
HLA_B_07	HLA	6:31431272	6.49x10-5	Dominant	0.394	0.484	-	-	-	-	SMA
rs8176746	ABO	9:136131322	1.89x10-1	Dominant	0.164	0.149	0.156	0.162	0.171	0.153	SMA
rs7853989	ABO	9:136131592	2.27x10-1	Dominant	0.166	0.155	0.158	0.172	0.171	0.164	SMA
rs1053878	ABO	9:136131651	3.98x10-1	Heterozygous	0.261	0.267	0.292	0.202	0.231	0.133	SMA
rs8176719	ABO	9:136132908	8.69x10-2	Additive	0.326	0.294	0.311	0.288	0.231	0.344	SMA
rs2334880	MARVELD3	16:71653637	7.09x10-1	Dominant	0.446	0.449	0.441	0.470	0.407	0.157	SMA
_-thalassemia deletion	HBA1, HBA2	-	1.80x10-2	Recessive	0.264	0.318	-	-	-	-	SMA
rs4951074 	ATP2B4	1:203660781	5.19x10-1	Dominant	0.323	0.340	0.285	0.374	0.421	0.152	SMA
rs10900585 	ATP2B4	1:203654024	2.07x10-1	Additive	0.338	0.375	0.327	0.414	0.481	0.172	SMA
rs55868763 	ATP2B4	1:203652140	4.20x10-1	Dominant	0.330	0.354	0.298	0.394	0.417	0.150	SMA
rs1541255	ATP2B4	1:203652141	4.20x10-1	Dominant	0.330	0.354	0.297	0.394	0.417	0.150	SMA
rs12083094	PAPPA2		3.13x10-3								SMA
rs73498006 	DPP6		2.41 x10-2								SMA
rs2985337 	EPB41		3.56 x10-2								SMA
rs149373719 	INPP4B		5.58 x10-2								SMA
