SNP	Gene	Location	Min P	Model	Conditional	Subtype	Odds Ratio	Case MAF	Control MAF	Trios MAF	African MAF	Global MAF
rs334	HbS (in HBB)	11:5248232	8.59E-13	Heterozygous	-	HL: 1.81e-09	0.131	0.018	0.080	0.026	0.100	0.027
rs113892119	HBB	11:5273865	1.43E-12	Heterozygous	DOM: 2.63e-03	HL: 3.25e-08	0.115	0.018	0.079	0.006	0.017	0.005
rs141845179	HBB	11:5244665	2.67E-12	Heterozygous	DOM: 8.99e-03	HL: 2.20e-08	0.146	0.024	0.089	0.008	0.026	0.008
rs201250014	HBB	11:5118578	4.55E-12	Heterozygous	DOM: 5.25e-02	HL: 3.53e-09	0.118	0.013	0.076	0.006	0.017	0.006
rs142667079	HBB	11:5190723	8.46E-12	Heterozygous	DOM: 5.25e-02	HL: 5.39e-09	0.121	0.013	0.075	0.006	0.017	0.005
rs113850170	HBB	11:5243936	4.68E-11	Heterozygous	DOM: 1.30e-03	HL: 6.00e-08	0.187	0.029	0.090	0.010	0.034	0.010
rs145843585	HBB	11:5321510	3.53E-09	Heterozygous	DOM: 8.70e-03	HL: 1.78e-06	0.244	0.031	0.087	0.010	0.035	0.010
rs12292063	HBB	11:5302406	6.21E-09	Heterozygous	DOM: 1.61e-03	CM: 5.89e-06	0.320	0.051	0.106	0.015	0.051	0.014
rs111565479	HBB	11:5304648	3.47E-08	Heterozygous	ADD: 1.52e-03	CM: 4.75e-05	0.260	0.035	0.080	0.014	0.047	0.013
rs138355232	HBB	11:5283010	7.53E-08	Heterozygous	DOM: 8.99e-03	HL: 2.74e-05	0.284	0.036	0.086	0.013	0.042	0.012
rs112075505	HBB	11:5276402	8.70E-08	Heterozygous	ADD: 7.63e-03	HL: 2.27e-05	0.294	0.036	0.086	0.013	0.043	0.012
rs112035597	HBB	11:5277116	8.70E-08	Heterozygous	ADD: 7.63e-03	HL: 2.27e-05	0.294	0.036	0.086	0.013	0.043	0.012
rs113981422	HBB	11:5277117	8.70E-08	Heterozygous	ADD: 7.63e-03	HL: 2.27e-05	0.294	0.036	0.086	0.013	0.043	0.012
rs28674962	HBB	11:5351215	1.83E-07	Heterozygous	DOM: 3.66e-02	RD: 6.50e-05	0.223	0.019	0.065	0.012	0.039	0.011
rs145430058	HBB	11:5037158	9.23E-07	Heterozygous	DOM: 2.47e-01	HL: 1.20e-06	0.197	0.011	0.048	0.003	0.008	0.003
rs148767281	HBB	11:5053696	9.23E-07	Heterozygous	DOM: 2.47e-01	HL: 1.20e-06	0.197	0.011	0.048	0.003	0.007	0.002
