c0.source	c0.geneId	c0.source.1	c0.geneId.1	c0.source.2	c0.geneId.2	c0.associationType	c0.originalSource	c0.originalSource.1	c0.originalSource.2	c0.sentence	c0.pmid	c1.pantherName	c1.symbol	c1.geneId	c1.description	c1.symbol.1	c1.geneId.1	c2.diseaseId	c2.name	c2.hpoName	c2.diseaseId.1	c2.name.1	c2.STY	c2.MESH	c2.diseaseClassName	c2.doName	c2.type	c2.OMIM	c2.type.1	c3.score	c4.year
ALL	4843	ALL	4843	ALL	4843	GeneticVariation	LHGDN	LHGDN	LHGDN	A single haplotype, uniquely defined by the <span class=gene id=12552317>NOS2A</span>-1659T allele, was associated with <span class=disease id=12552317>cerebral malaria</span> by a transmission disequilibrium.	12552317	null	NOS2	4843	nitric oxide synthase 2	NOS2	4843	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.011653515897269	2002
ALL	4843	ALL	4843	ALL	4843	GeneticVariation	BEFREE	BEFREE	BEFREE	We examined associations of plasma NO metabolites (NOx) with symptoms of severe malaria, particularly malarial anaemia and <span class= disease  id= 15960706-4-123-139 >cerebral malaria</span>, and with <span class= gene  id= 15960706-4-150-154 >iNOS</span> promoter variants.	15960706	null	NOS2	4843	nitric oxide synthase 2	NOS2	4843	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.011653515897269	2005
ALL	4843	ALL	4843	ALL	4843	GeneticVariation	BEFREE	BEFREE	BEFREE	We identified 34 SNPs in the proximal 7.3 kb region of the <span class= gene  id= 19859740-4-59-63 >NOS2</span> promoter and inferred <span class= gene  id= 19859740-4-86-90 >NOS2</span> promoter haplotypes based on genotyping 24 of these SNPs in a population of Tanzanian children with and without <span class= disease  id= 19859740-4-203-219 >cerebral malaria</span>.	19859740	null	NOS2	4843	nitric oxide synthase 2	NOS2	4843	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.011653515897269	2009
ALL	4843	ALL	4843	ALL	4843	GeneticVariation	GAD	GAD	GAD	Genetic variation in neuronal nitric oxide synthase (nNOS) gene and susceptibility to cerebral malaria in Indian adults.	19540363	null	NOS2	4843	nitric oxide synthase 2	NOS2	4843	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.011653515897269	2009
ALL	4843	ALL	4843	ALL	4843	GeneticVariation	BEFREE	BEFREE	BEFREE	<span class= gene  id= 24379293-0-0-4 >NOS2</span> variants reveal a dual genetic control of nitric oxide levels, susceptibility to Plasmodium infection, and <span class= disease  id= 24379293-0-112-128 >cerebral malaria</span>.	24379293	null	NOS2	4843	nitric oxide synthase 2	NOS2	4843	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.011653515897269	2014
ALL	4843	ALL	4843	ALL	4843	GeneticVariation	BEFREE	BEFREE	BEFREE	Interpretation The <span class= gene  id= 12433515-10-19-23 >NOS2</span> promoter -1173 C--&gt;T single nucleotide polymorphism is associated with protection against <span class= disease  id= 12433515-10-114-130 >cerebral malaria</span> and severe malarial anaemia.	12433515	null	NOS2	4843	nitric oxide synthase 2	NOS2	4843	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.011653515897269	2002
ALL	4843	ALL	4843	ALL	4843	GeneticVariation	BEFREE	BEFREE	BEFREE	Nucleotide and haplotypic diversity of the <span class= gene  id= 12552317-0-43-48 >NOS2A</span> promoter region and its relationship to <span class= disease  id= 12552317-0-89-105 >cerebral malaria</span>.	12552317	null	NOS2	4843	nitric oxide synthase 2	NOS2	4843	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.011653515897269	2002
ALL	4843	ALL	4843	ALL	4843	GeneticVariation	GAD	GAD	GAD	To assess the hypothesis that nitric oxide (NO) is critical in the pathogenesis of <span class=disease id=19153766-1-83-99>cerebral malaria</span>, we analyzed those single nucleotide polymorphisms (SNPs) and microsatellite (MS) of the promoter region of inducible nitric oxide synthase (<span class=gene id=19153766-1-241-245>iNOS</span>) gene which are known to enhance the NO production in vivo.	19153766	null	NOS2	4843	nitric oxide synthase 2	NOS2	4843	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.011653515897269	2009
ALL	4843	ALL	4843	ALL	4843	GeneticVariation	LHGDN	LHGDN	LHGDN	<span class=gene id=12433515>NOS2</span> promoter -1173 C-- > T single nucleotide polymorphism is associated with protection against <span class=disease id=12433515>cerebral malaria</span> and severe malarial anaemia	12433515	null	NOS2	4843	nitric oxide synthase 2	NOS2	4843	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.011653515897269	2002
ALL	1378	ALL	1378	ALL	1378	GeneticVariation	BEFREE	BEFREE	BEFREE	The result of the present study which analyzed three SNPs (intron 27 HindIIIA&gt;T, exon 22 3650 A&gt;G, and exon 33 5507 C&gt;G) of the <span class= gene  id= 20951238-3-128-131 >CR1</span> gene in Orissa, a hyperendemic state in eastern-India showed that a significantly increased risk for <span class= disease  id= 20951238-3-233-249 >cerebral malaria</span> (<span class= disease  id= 20951238-3-251-253 >CM</span>) was associated with AA genotype of both intron 27 and exon 22 when compared with mild, severe malaria anemia (SMA) and <span class= disease  id= 20951238-3-374-376 >CM</span>+SMA group respectively.	20951238	null	CR1	1378	complement C3b/C4b receptor 1 (Knops blood group)	CR1	1378	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.010503451603104	2010
ALL	1378	ALL	1378	ALL	1378	GeneticVariation	GAD	GAD	GAD	We found a higher frequency of HL and AA phenotypes in the study subjects. Our findings are unique as we found that gene frequencies for structural and quantitative polymorphism in our study subjects were a combination of those found in Caucasian and Orie	14556965	null	CR1	1378	complement C3b/C4b receptor 1 (Knops blood group)	CR1	1378	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.010503451603104	2003
ALL	1378	ALL	1378	ALL	1378	GeneticVariation	GAD	GAD	GAD	These results support the hypothesis that the Sl2 allele and, possibly, the McCb allele evolved in the context of malaria transmission and that in certain combinations probably confer a survival advantage on these populations.	16277654	null	CR1	1378	complement C3b/C4b receptor 1 (Knops blood group)	CR1	1378	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.010503451603104	2005
ALL	1378	ALL	1378	ALL	1378	GeneticVariation	LHGDN	LHGDN	LHGDN	A CR1 promoter allele, associated with higher E-CR1 expression, that conferred protection against cerebral malaria, is described.	18954261	null	CR1	1378	complement C3b/C4b receptor 1 (Knops blood group)	CR1	1378	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.010503451603104	2009
ALL	1378	ALL	1378	ALL	1378	GeneticVariation	BEFREE	BEFREE	BEFREE	A functional single-nucleotide polymorphism in the <span class= gene  id= 18954261-0-51-54 >CR1</span> promoter region contributes to protection against <span class= disease  id= 18954261-0-105-121 >cerebral malaria</span>.	18954261	null	CR1	1378	complement C3b/C4b receptor 1 (Knops blood group)	CR1	1378	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.010503451603104	2009
ALL	1378	ALL	1378	ALL	1378	GeneticVariation	GAD	GAD	GAD	A functional single-nucleotide polymorphism in the <span class=gene id=18954261-0-51-54>CR1</span> promoter region contributes to protection against <span class=disease id=18954261-0-105-121>cerebral malaria</span>.	18954261	null	CR1	1378	complement C3b/C4b receptor 1 (Knops blood group)	CR1	1378	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.010503451603104	2009
ALL	7124	ALL	7124	ALL	7124	Biomarker	BEFREE	BEFREE	BEFREE	This report of RT-PCR on postmortem human tissues infected with <span class= disease  id= 10515846-8-64-66 >CM</span> demonstrates induction of the proinflammatory cytokines <span class= gene  id= 10515846-8-123-126 >TNF</span>-alpha and IL-1beta in the brain.	10515846	signaling molecule	TNF	7124	tumor necrosis factor	TNF	7124	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.0100195105693077	1999
ALL	7124	ALL	7124	ALL	7124	GeneticVariation	BEFREE	BEFREE	BEFREE	The hypothesis that <span class= gene  id= 16982833-1-20-41 >tumor necrosis factor</span> (<span class= gene  id= 16982833-1-43-46 >TNF</span>) aggravates malaria in children is supported by observations that <span class= gene  id= 16982833-1-113-116 >TNF</span> polymorphisms and high <span class= gene  id= 16982833-1-140-143 >TNF</span> levels have been associated with <span class= disease  id= 16982833-1-177-193 >cerebral malaria</span>.	16982833	signaling molecule	TNF	7124	tumor necrosis factor	TNF	7124	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.0100195105693077	2007
ALL	7124	ALL	7124	ALL	7124	AlteredExpression	BEFREE	BEFREE	BEFREE	Up-regulated <span class= gene  id= 21298033-3-13-18 >TNF-&alpha;</span> expression has also been found in various neurodegenerative diseases such as <span class= disease  id= 21298033-3-96-112 >cerebral malaria</span>, AIDS dementia, Alzheimer's disease, multiple sclerosis, and stroke, suggesting a potential pathogenic role of TNF-&alpha; in these diseases as well.	21298033	signaling molecule	TNF	7124	tumor necrosis factor	TNF	7124	C0024534	Malaria, Cerebral	null	C0024534	Malaria, Cerebral	Disease or Syndrome	D016779	Nervous System Diseases ; Parasitic Diseases	disease by infectious agent	disease	null	disease	0.0100195105693077	2010
